NMJFileNames,NerveTerminalPerimeterum,NerveTerminalAreaum2,TotalLengthOfBranchesum,AverageLengthOfBranchesum,Complexity,AChRPerimeterum,AChRAreaum2,AreaOfSynapticContactum2,Overlap,ManualEndplateAreaum2,ManualCompactness,Fragmentation
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_01-1.tif,142.713107241063,123.940271246874,56.2786434463795,2.55812015665361,4.47297754308664,88.9092575618698,130.284361423899,103.471365165032,0.794196356601644,153.326189362008,0.84972020739584,1
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_01-2.tif,253.712190650779,179.621450733062,72.1356553620532,1.28813670289381,4.98654925048853,169.752520623281,209.209001907953,139.966948980955,0.669029285090405,331.160247034104,0.63174551831521,2
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_01-3.tif,469.569202566453,294.568047377048,132.63061411549,0.828941338221815,6.02573376752264,160.678276810266,297.229183696959,215.083665117733,0.723629027414152,346.60302903264,0.857549296457442,2
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_02-1.tif,185.517873510541,169.701524261918,70.1191567369386,2.5970058050718,4.45329170777994,180.843263061412,196.536574136695,140.664263312613,0.715715453627362,305.915157849281,0.642454514246481,5
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_02-2.tif,156.645279560037,119.865603164295,56.4619615032081,1.88206538344027,4.30805846234337,148.579285059578,129.714117926775,95.3052262448951,0.734732870778921,186.654453864256,0.694942527442232,3
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_02-3.tif,262.969752520623,219.879801492253,95.3253895508708,2.32500950124075,5.11050638530806,245.004582951421,211.940499764341,166.338872921604,0.784837598790972,381.288115999499,0.555853935307597,12
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_03-1.tif,183.134738771769,196.235174719247,76.9019248395967,1.8756567034048,4.97584232167976,138.863428047663,221.46346114909,168.338400764189,0.760118169790832,265.898346692924,0.832887695254646,4
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_03-2.tif,169.569202566453,179.283295289096,87.1677360219982,3.48670944087993,5.05429911865591,144.271310724106,190.513836648657,147.14172535729,0.77234141071153,270.245009371737,0.704967085577499,4
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_04-1.tif,192.75893675527,163.061285528375,60.12832263978,1.93962331096065,4.31183346777982,175.985334555454,191.637520887925,128.179816362691,0.66886597034228,271.415951359385,0.706065800215903,3
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_04-2.tif,176.718606782768,174.446202199313,80.0183318056829,3.47905790459491,4.69628109329381,211.09074243813,207.273534568728,141.235556981923,0.681396963079682,343.386351626213,0.603616112251171,3
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_04-3.tif,192.025664527956,160.849622904171,93.7671860678277,3.90696608615949,5.17180606037729,203.758020164986,158.730375432356,123.458242213393,0.777785864092572,309.648519971334,0.512614675009751,6
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_04-4.tif,237.855178735105,195.593519513459,110.44912923923,2.40106802693978,5.5751518477351,211.73235563703,185.525518764057,145.873117356322,0.786269825995404,254.572239664415,0.72877356544697,2
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAA_40x_04-5.tif,221.173235563703,166.552057875409,76.5352887259395,1.59448518179041,5.04222421699051,183.134738771769,221.033940724921,142.56297462532,0.644982278096107,286.210777119016,0.772276791775062,4
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_01-2.tif,184.784601283226,205.63421578602,100.091659028414,5.26798205412707,4.87021609575971,125.664527956004,142.1754610886,123.180996756228,0.866401246833059,181.942331264634,0.781431457431457,1
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_01-3.tif,178.826764436297,189.305088462304,96.5169569202566,4.19638943131551,5.05390163271267,149.129239230064,194.530745260993,146.772064747736,0.75449289288857,237.697022803859,0.818397904047433,1
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_01-4.tif,191.47571035747,171.48996749507,71.769019248396,2.9903758020165,4.74129823150111,188.359303391384,201.518590988178,138.614327205089,0.687848830846679,286.64449823193,0.70302619527386,4
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_02-2.tif,180.38496791934,178.090299685536,69.93583868011,2.41158064414172,4.53754670664377,118.881759853346,171.93314015766,132.556934034904,0.770979544219058,207.788118939981,0.827444519132118,3
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_02-3.tif,192.942254812099,161.744369606841,82.0348304307974,2.82878725623439,4.83879428052548,132.813932172319,174.285525854819,123.105384358819,0.706343132942474,196.313937633214,0.887789873485436,3
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_03-1.tif,167.919340054995,177.540009459951,88.5426214482126,6.32447296058662,4.76537826944111,139.138405132906,136.604297640641,102.001124104308,0.7466904472701,175.375604584128,0.77892417229052,3
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_03-2.tif,261.228230980752,297.898143379588,106.782768102658,2.60445775860142,5.23234963851993,255.270394133822,368.867729552937,255.023813704495,0.691369272160458,492.952924561511,0.748281856489747,8
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_03-3.tif,293.125572868928,265.599047619848,106.416131989001,1.68914495220636,5.5506238882046,249.495875343721,248.981122944918,164.120909264283,0.659170090178248,440.632296071264,0.565054185008377,12
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_03-4.tif,267.461044912924,248.729081620222,115.123739688359,2.74104142115141,5.4168079390337,221.906507791017,230.671370877969,179.125769461161,0.776540967261702,397.789471561757,0.579883047111158,4
C:\Users\mde11\OneDrive\Documents\MATLAB\Project 1\Project 1 Git\Isolated NMJs\MAX_091920_animalAC_40x_03-5.tif,167.277726856095,165.804335278812,79.6516956920257,3.46311720400112,5.00328555137216,157.56186984418,185.705098207902,136.329152527848,0.73411636968213,250.991152509365,0.739887029288703,5
